addr	size	name	confidence	args	ret	callers	callees	frame	saved	tags
0x8001233C	32	func_8001233C	low	2	void	0	0	0		leaf|orphan
0x8001235C	360	func_8001235C	verified	0	void	1	3	24	ra	
0x8001257C	388	func_8001257C	verified	0	u32	1	7	24	ra	gp
0x80012700	1024	func_80012700	verified	0	u32	1	1	24	ra	gp
0x80012B00	428	func_80012B00	verified	0	u32	1	21	32	ra	gp
0x80012CAC	184	func_80012CAC	high	0	u32	1	2	0	ra	gp
0x80012D64	1840	func_80012D64	medium	0	u32	1	32	32	s0|s1|s2|ra	gp
0x80013800	32	func_80013800	high	0	u32	7	0	0		leaf|gp
0x80013820	12	func_80013820	high	0	u32	2	0	0		leaf|gp
0x8001382C	100	func_8001382C	high	0	u32	2	2	0	ra	gp
0x80013970	80	func_80013970	high	4	u32	4	0	0		leaf|gp
0x800139C0	1452	func_800139C0	verified	0	u32	3	10	72	s0|s1|s2|ra	gp
0x80013F6C	44	func_80013F6C	high	0	u32	1	0	0		leaf
0x80013F98	408	func_80013F98	high	0	u32	3	1	0	s0|s1|s2|ra	
0x80014130	76	func_80014130	high	1	u32	4	0	0		leaf
0x8001417C	112	func_8001417C	verified	2	u32	2	3	24	s0|ra	
0x800141EC	220	func_800141EC	low	0	u32	0	2	0	s0|s1|s2|ra	gp|orphan
0x80014650	564	func_80014650	verified	1	u32	6	6	56	s0|s1|s2|s3|ra	gp
0x80014A78	356	func_80014A78	verified	2	u32	25	1	32	ra	gp
0x80014C48	1324	func_80014C48	verified	0	u32	2	9	48	ra	gp
0x80015174	184	func_80015174	verified	0	u32	2	1	24	ra	gp
0x8001522C	244	func_8001522C	verified	0	u32	1	7	32	s0|ra	gp
0x80015320	164	func_80015320	verified	0	u32	1	5	48	s0|ra	gp
0x80015404	112	func_80015404	high	0	u32	1	6	0	ra	gp
0x80015474	628	func_80015474	verified	1	u32	1	3	64	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	gp
0x800156E8	88	func_800156E8	verified	1	u32	1	1	24	ra	gp
0x80015740	212	func_80015740	verified	1	u32	1	5	24	s0|ra	gp
0x80015814	120	func_80015814	verified	1	u32	1	2	24	s0|ra	
0x8001588C	104	func_8001588C	verified	1	u32	1	2	24	s0|ra	
0x800158F4	272	func_800158F4	verified	1	u32	1	3	32	s0|ra	gp
0x80015A04	232	func_80015A04	verified	0	u32	2	3	48	s0|s1|s2|ra	
0x80015BC4	216	func_80015BC4	verified	1	u32	2	3	24	ra	gp
0x80015C9C	104	func_80015C9C	verified	0	u32	1	2	24	ra	gp
0x80015D04	20	func_80015D04	high	0	u32	2	0	0		leaf|gp
0x80015D18	16	func_80015D18	high	0	void	2	0	0		leaf|gp
0x80015D28	148	func_80015D28	verified	0	u32	2	1	32	ra	gp
0x80015EFC	68	func_80015EFC	high	1	u32	36	0	0		leaf
0x80015F40	168	func_80015F40	high	0	u32	3	0	0		leaf
0x80016404	960	func_80016404	verified	0	u32	2	1	24	ra	
0x800168D4	232	func_800168D4	verified	4	u32	22	1	24	ra	
0x800169BC	244	func_800169BC	verified	4	u32	1	1	24	s0|ra	
0x80016AB0	252	func_80016AB0	verified	4	u32	19	1	32	s0|s1|ra	
0x80016BAC	248	func_80016BAC	verified	4	u32	2	1	24	s0|ra	
0x80016DA0	996	func_80016DA0	verified	1	u32	8	3	56	s0|s1|s2|s3|s4|s5|ra	gp
0x80017294	444	func_80017294	verified	2	u32	2	0	8		leaf|gp
0x80017450	448	func_80017450	high	1	u32	1	0	0		leaf
0x80017714	328	func_80017714	verified	1	u32	9	1	24	ra	gp
0x800178D0	56	func_800178D0	high	1	u32	1	0	0		leaf
0x80017908	116	func_80017908	high	1	u32	4	0	0		leaf
0x8001797C	216	func_8001797C	verified	1	u32	2	1	24	s0|ra	
0x80017BF0	604	func_80017BF0	verified	3	u32	1	2	48	s0|s1|s2|s3|s4|s5|s6|ra	
0x80017E4C	376	func_80017E4C	verified	3	u32	1	1	48	s0|s1|s2|s3|s4|s5|ra	
0x80017FC4	300	func_80017FC4	verified	3	u32	1	1	24	ra	
0x800180F0	300	func_800180F0	verified	3	u32	1	1	24	ra	
0x8001821C	296	func_8001821C	verified	3	u32	1	1	24	ra	
0x80018344	2240	func_80018344	verified	1	u32	1	7	200	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	gp
0x80018C04	848	func_80018C04	verified	0	u32	1	4	48	s0|s1|s2|s3|s4|s5|ra	gp
0x80018F7C	340	func_80018F7C	high	1	u32	1	0	0		leaf|gp
0x800190D0	276	func_800190D0	verified	1	u32	1	5	32	s0|s1|s2|ra	gp
0x8001948C	548	func_8001948C	verified	2	u32	1	4	120	s0|s1|ra	
0x800196B0	1160	func_800196B0	verified	0	u32	1	1	184	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	break|gp
0x80019B38	1200	func_80019B38	high	0	u32	2	10	0	s0|s1|ra	gp
0x8001A00C	40	func_8001A00C	verified	0	void	2	2	24	ra	
0x8001A034	32	func_8001A034	verified	0	void	2	1	24	ra	
0x8001A054	76	func_8001A054	medium	4	void	0	2	24	s0|ra	orphan
0x8001A0A0	76	func_8001A0A0	verified	0	u32	3	2	32	ra	
0x8001A0EC	100	func_8001A0EC	verified	4	u32	1	1	32	ra	
0x8001A150	140	func_8001A150	verified	0	u32	3	4	32	s0|ra	gp
0x8001A1DC	92	func_8001A1DC	verified	0	u32	2	3	32	ra	
0x8001A238	616	func_8001A238	medium	0	u32	0	7	80	s0|s1|s2|ra	orphan
0x8001A504	852	func_8001A504	high	0	u32	1	0	0		leaf|gp
0x8001A858	44	func_8001A858	high	2	u32	2	0	0		leaf|gp
0x8001A884	52	func_8001A884	high	2	u32	3	0	0		leaf|gp
0x8001A8B8	44	func_8001A8B8	high	0	u32	1	0	0		leaf|gp
0x8001AEC4	316	func_8001AEC4	verified	1	u32	5	16	24	s0|ra	gp
0x8001B09C	1152	func_8001B09C	verified	2	u32	2	2	48	s0|s1|s2|s3|s4|s5|ra	gp
0x8001B51C	320	func_8001B51C	verified	2	u32	2	3	24	ra	gp
0x8001B65C	1052	func_8001B65C	high	3	u32	1	0	0		leaf
0x8001BA78	36	func_8001BA78	high	1	u32	6	0	0		leaf
0x8001BA9C	24	func_8001BA9C	high	1	u32	6	0	0		leaf
0x8001BAB4	48	func_8001BAB4	high	3	u32	3	0	0		leaf
0x8001BAE4	44	func_8001BAE4	high	1	u32	6	0	0		leaf
0x8001BB10	512	func_8001BB10	verified	2	u32	2	1	24	s0|ra	gp
0x8001BD10	52	func_8001BD10	high	1	u32	16	0	0		leaf
